x y
0 -2.13465760952806e-27
0.05 -106.534451486188
0.1 -232.630281779435
0.15 -383.542039743317
0.2 -566.224887497062
0.25 -789.970147155621
0.3 -1067.30276479526
0.35 -1415.26435092766
0.4 -1857.40276831624
0.45 -2427.23031941693
