x y
0 -6.26327414175027e-09
0.05 -106.534450752591
0.1 -232.630281779434
0.15 -383.546557458306
0.2 -566.27165561704
0.25 -790.230839288139
0.3 -1068.20871878986
0.35 -1417.77604584645
0.4 -1862.97630181122
0.45 -2438.48141517783
