x y
0 -7.61984316126636e-09
0.05 -106.534450268482
0.1 -232.630281779435
0.15 -383.548776138403
0.2 -566.293925193184
0.25 -790.346562373636
0.3 -1068.59288627963
0.35 -1418.69834042073
0.4 -1864.94585790652
0.45 -2442.0077357384
